id,markets,founded in,employees,headquarters,country,total raised (USD),latest_round_amount (USD),latest_round_date,latest_round_type,acquired_by,acquired_at,acquired_amount (USD)
155610,"Big Data > Machine Learning, Technology > Artificial Intelligence",2012.0,299.0,New York,United States,,,,,,,
155611,"Marketing > Business Intelligence, Technology > Artificial Intelligence, Analytics > Predictive Analytics, Finance > FinTech > Blockchain",2017.0,10.0,Coimbatore,India,,,,,,,
155820,Big Data > Machine Learning,,,Helsinki,Finland,420455.0,420455.0,2018-12-17,Angel,,,
156121,"Entertainment, Robotics, Technology > Artificial Intelligence, Food And Drinks",2016.0,19.0,Estonia,Estonia,1000000.0,1000000.0,2018-11-26,Seed fund,,,
156143,"Technology > Artificial Intelligence, Agriculture, Data Science > Computer Vision, Big Data > Machine Learning > Deep Learning",2018.0,3.0,Lisbon,Portugal,,,,,,,
156538,"Technology, Technology > Artificial Intelligence, Software",,,San Francisco,United States,29500000.0,29500000.0,2018-11-06,Series A,,,
156611,"Big Data > Machine Learning > Natural Language Processing, Technology > Artificial Intelligence",,,Sardinia,,,,,,,,
156658,"Real Estate, Technology > Artificial Intelligence, Internet of Things > Sensors",,,San Francisco,United States,1500000.0,1500000.0,2018-10-25,Seed fund,,,
156733,"Technology > Artificial Intelligence, Software",,,,United States,3500000.0,3500000.0,2018-10-26,Seed fund,,,
156737,"Big Data > Machine Learning, Security > Cyber Security",,,,United States,1500000.0,1500000.0,2018-10-24,Seed fund,,,
156759,"Big Data, Big Data > Machine Learning, Technology > Artificial Intelligence",2014.0,11.0,Tel Aviv,Israel,,,,,,,
156847,"Analytics, Big Data > Machine Learning, Marketing > Business Intelligence, Analytics > Predictive Analytics",2007.0,12.0,Burnaby,Canada,,,,,,,
156906,"Technology > Artificial Intelligence, Software",2005.0,51.0,Évora,,,,,,,,
156921,"Social > Communities, Mobile, Big Data > Machine Learning, Media > Publishing > Content Delivery",2015.0,11.0,Rotterdam,The Netherlands,,,,,,,
156933,"Internet > Consumer Internet > Messaging, Technology, Big Data > Big Data Analytics, Internet, Analytics, Big Data, Big Data > Machine Learning, Technology > Artificial Intelligence, Analytics > Predictive Analytics, Internet > Consumer Internet",,,Manchester,United Kingdom,,,,,,,
157097,"Big Data > Machine Learning, Consumer Electronics > Wearables > Augmented Reality",2013.0,2.0,,,,,,,,,
157324,Technology > Artificial Intelligence,2016.0,11.0,,,,,,,,,
157420,"Big Data > Machine Learning, Technology > Artificial Intelligence, Data Science, Big Data > Machine Learning > Deep Learning",2001.0,165.0,London,United Kingdom,,,,,,,
157421,"Technology > Artificial Intelligence, Internet of Things, Finance > FinTech > Blockchain",2012.0,11.0,,,,,,,,,
157461,Technology > Artificial Intelligence,2017.0,2.0,,,,,,,,,
157464,"E-Commerce, Internet > Web Development, Big Data > Machine Learning, Software > Mobile Applications > iOS, Software > Mobile Applications > Android",2014.0,51.0,Kyivs'ka oblast,,,,,,,,
157478,"Services > Customer Service, Collaboration, Technology > Artificial Intelligence, Software, Businesses > Strategy",2018.0,2.0,,,,,,,,,
157512,"Big Data > Machine Learning, Technology > Artificial Intelligence, Data Science",2018.0,2.0,,,,,,,,,
157536,"Big Data > Machine Learning, Microservices",,2.0,,,,,,,,,
157587,"Technology > Artificial Intelligence, Consumer Electronics > Wearables > Augmented Reality, Virtual Reality",,11.0,,,,,,,,,
157722,"Technology > Information Technology, Analytics, Big Data > Machine Learning, Technology > Artificial Intelligence, Internet of Things",2012.0,51.0,Munich,Germany,,,,,,,
157779,"Transportation, Robotics, Technology > Artificial Intelligence",,,,China,20000000.0,20000000.0,2019-01-07,Series A,,,
157800,"Big Data > Machine Learning, Aerospace, Finance > FinTech > Blockchain, Software > Mobile Applications",2017.0,15.0,Minden,United States,,,,,,,
157819,"Technology > Artificial Intelligence, Energy > Energy Efficiency",,,Mountain View,United States,58000000.0,58000000.0,2018-11-05,Series B,,,
157841,"Technology > Artificial Intelligence, Internet > Cloud Computing > Cloud Infrastructure",2014.0,2.0,,,,,,,,,
157874,"Big Data > Machine Learning, Big Data > Machine Learning > Deep Learning",2017.0,2.0,,,,,,,,,
157879,"Big Data, Big Data > Machine Learning, Big Data > Machine Learning > Deep Learning",2017.0,11.0,,,,,,,,,
157880,Big Data > Machine Learning,2016.0,2.0,,,,,,,,,
157889,"Big Data > Machine Learning, Technology > Artificial Intelligence, Data Science > Computer Vision",,2.0,,,,,,,,,
